Lineage,date,total_count,lineage_count,total_count_rolling,lineage_count_rolling,proportion,proportion_ci_lower,proportion_ci_upper
BA.1,2021-09-01,29702,1,27050.5714285714,0.142857142857143,5.2811136812531e-06,1.81520097647187e-08,9.28543586377613e-05
BA.1,2021-09-02,29298,0,27133,0.142857142857143,5.26506994645424e-06,1.80971521717003e-08,9.25737543988869e-05
BA.1,2021-09-03,26743,0,26941.7142857143,0.142857142857143,5.30245185373717e-06,1.8225447172316e-08,9.32300011072267e-05
BA.1,2021-09-04,17789,0,26828.8571428571,0.142857142857143,5.32475692484638e-06,1.83022094930359e-08,9.36226508073629e-05
BA.1,2021-09-05,14449,0,26759.4285714286,0.142857142857143,5.33857225223686e-06,1.83500865695077e-08,9.38675484766791e-05
BA.1,2021-09-06,24196,0,25507.1428571429,0.142857142857143,5.60067208064968e-06,1.92507837506566e-08,9.84747242396823e-05
BA.1,2021-09-07,34549,0,25246.5714285714,0.142857142857143,5.65847696434028e-06,1.94490312353029e-08,9.94887813967188e-05
BA.1,2021-09-08,30302,0,25332.2857142857,0,0,1.93837718251035e-08,9.91549726311873e-05
BA.1,2021-09-09,29430,0,25351.1428571429,0,0,1.93692442697529e-08,9.90806626418012e-05
BA.1,2021-09-10,27961,0,25525.1428571429,0,0,1.92372084066829e-08,9.84052848467486e-05
BA.1,2021-09-11,17033,1,25417.1428571429,0.142857142857143,5.6205035971223e-06,1.93189488962958e-08,9.88233963903381e-05
BA.1,2021-09-12,15544,4,25573.5714285714,0.714285714285714,2.79306203390777e-05,4.21906891666234e-06,0.000182756720050858
BA.1,2021-09-13,31236,0,26579.2857142857,0.714285714285714,2.68737738840665e-05,4.0595371230915e-06,0.000175846900974608
BA.1,2021-09-14,27340,1,25549.4285714286,0.857142857142857,3.35484159556266e-05,4.22319735730064e-06,0.000182935535065765
BA.1,2021-09-15,33791,1,26047.8571428571,1,3.83908739408232e-05,4.14229320572625e-06,0.000179431330598501
BA.1,2021-09-16,23963,0,25266.8571428571,1,3.95775380509759e-05,4.27033199514338e-06,0.000184977073821258
BA.1,2021-09-17,23819,1,24675.1428571429,1.14285714285714,4.63161307504371e-05,4.37278616471376e-06,0.000189414648911423
BA.1,2021-09-18,14875,0,24366.8571428571,1,4.10393508747245e-05,4.42805882735438e-06,0.000191808653716263
BA.1,2021-09-19,14143,1,24166.7142857143,0.571428571428571,2.36452736053722e-05,4.46470462326369e-06,0.00019339587669942
BA.1,2021-09-20,27814,0,23677.8571428571,0.571428571428571,2.41334580228665e-05,4.55691083326593e-06,0.000197389552175076
BA.1,2021-09-21,26773,0,23596.8571428571,0.428571428571429,1.81622249936432e-05,2.0808973649429e-08,0.000106445005202393
BA.1,2021-09-22,19757,1,21592,0.428571428571429,1.98486211824485e-05,2.27412406285248e-08,0.000116328635733856
