index,date,fac_aggregate_cases,fac_aggregate_cases_per_pop,cum_risk_factor,cum_risk_factor_u,hosp_risk_lower,hosp_risk_upper,death_risk_lower,death_risk_upper,f_risk
5138,18729,131,0.001866628669137,0.631387147335423,1.89416144200627,0.002378825166041,0.017357406654102,5.51314629310345E-05,0.000119187513737,Medium Risk
5334,18715,131,0.001866628669137,0.631387147335423,1.89416144200627,0.002378825166041,0.017357406654102,5.51314629310345E-05,0.000119187513737,Medium Risk
5236,18722,132,0.001880877742947,0.636206896551724,1.90862068965517,0.002396984136774,0.017489905941538,5.55523137931034E-05,0.000120097342086,Medium Risk
5166,18727,133,0.001895126816757,0.641026645768025,1.92307993730408,0.002415143107508,0.017622405228974,5.59731646551724E-05,0.000121007170435,Medium Risk
5040,18736,134,0.001909375890567,0.645846394984326,1.93753918495298,0.002433302078241,0.01775490451641,5.63940155172414E-05,0.000121916998784,Medium Risk
5950,18671,134,0.001909375890567,0.645846394984326,1.93753918495298,0.002433302078241,0.01775490451641,5.63940155172414E-05,0.000121916998784,Medium Risk
6944,18600,134,0.001909375890567,0.645846394984326,1.93753918495298,0.002433302078241,0.01775490451641,5.63940155172414E-05,0.000121916998784,Medium Risk
2646,18907,136,0.001937874038188,0.655485893416928,1.96645768025078,0.002469620019707,0.018019903091282,5.72357172413793E-05,0.000123736655483,Medium Risk
5124,18730,136,0.001937874038188,0.655485893416928,1.96645768025078,0.002469620019707,0.018019903091282,5.72357172413793E-05,0.000123736655483,Medium Risk
5152,18728,137,0.001952123111998,0.660305642633229,1.98091692789969,0.00248777899044,0.018152402378717,5.76565681034483E-05,0.000124646483832,Medium Risk
5292,18718,137,0.001952123111998,0.660305642633229,1.98091692789969,0.00248777899044,0.018152402378717,5.76565681034483E-05,0.000124646483832,Medium Risk
5964,18670,137,0.001952123111998,0.660305642633229,1.98091692789969,0.00248777899044,0.018152402378717,5.76565681034483E-05,0.000124646483832,Medium Risk
2100,18946,138,0.001966372185808,0.66512539184953,1.99537617554859,0.002505937961173,0.018284901666153,5.80774189655172E-05,0.000125556312181,Medium Risk
2114,18945,138,0.001966372185808,0.66512539184953,1.99537617554859,0.002505937961173,0.018284901666153,5.80774189655172E-05,0.000125556312181,Medium Risk
2128,18944,138,0.001966372185808,0.66512539184953,1.99537617554859,0.002505937961173,0.018284901666153,5.80774189655172E-05,0.000125556312181,Medium Risk
5110,18731,138,0.001966372185808,0.66512539184953,1.99537617554859,0.002505937961173,0.018284901666153,5.80774189655172E-05,0.000125556312181,Medium Risk
2380,18926,140,0.001994870333428,0.674764890282132,2.02429467084639,0.00254225590264,0.018549900241025,5.89191206896552E-05,0.000127375968879,Medium Risk
5278,18719,140,0.001994870333428,0.674764890282132,2.02429467084639,0.00254225590264,0.018549900241025,5.89191206896552E-05,0.000127375968879,Medium Risk
5250,18721,141,0.002009119407239,0.679584639498433,2.0387539184953,0.002560414873373,0.018682399528461,5.93399715517241E-05,0.000128285797228,Medium Risk
210,19081,143,0.002037617554859,0.689224137931035,2.0676724137931,0.002596732814839,0.018947398103333,6.0181673275862E-05,0.000130105453927,Medium Risk
